scenario_id,display_name,domain,model_id,purpose,environment,archive,source_url,taoryx_status,priority
Atmos_01,"Dropped Sphere, Dragless",atmospheric,nesc-atmospheric-spheroid,Point-mass free-fall and WGS-84/J2 verification,WGS-84 rotating; J2; no atmosphere force,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc01,source-collected,1
Atmos_02,"Tumbling Brick, No Damping",atmospheric,nesc-tumbling-brick,Torque-free rigid-body rotation and translation,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc02,source-collected,1
Atmos_03,Tumbling Brick with Aerodynamic Damping,atmospheric,nesc-tumbling-brick,Rotational damping and angular equations,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc03,source-collected,1
Atmos_04,"Dropped Sphere, Stationary Round Earth",atmospheric,nesc-atmospheric-spheroid,Round-Earth translational propagation,Stationary spherical Earth; inverse-square gravity,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc04,source-collected,1
Atmos_05,"Dropped Sphere, Rotating Round Earth",atmospheric,nesc-atmospheric-spheroid,Earth rotation and Coriolis consistency,Rotating spherical Earth; inverse-square gravity,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc05,source-collected,1
Atmos_06,"Dropped Sphere, WGS-84 Earth",atmospheric,nesc-atmospheric-spheroid,Ellipsoidal geodesy and gravity,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc06,source-collected,1
Atmos_07,"Dropped Sphere, Steady Wind",atmospheric,nesc-atmospheric-spheroid,Air-relative velocity and steady wind,WGS-84 rotating; J2; US 1976; steady wind,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc07,source-collected,1
Atmos_08,"Dropped Sphere, Wind Shear",atmospheric,nesc-atmospheric-spheroid,Altitude-varying wind field,WGS-84 rotating; J2; US 1976; wind shear,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc08,source-collected,1
Atmos_09,Eastward Fired Cannonball,atmospheric,nesc-atmospheric-spheroid,High-speed eastward ballistic propagation,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc09,source-collected,1
Atmos_10,Northward Fired Cannonball,atmospheric,nesc-atmospheric-spheroid,High-speed northward ballistic propagation,WGS-84 rotating; J2; US 1976 atmosphere,raw/nesc/official/Atmospheric_checkcases.zip,https://nescacademy.nasa.gov/flightsim/2015/atmospheric/acc10,source-collected,1
