figure,title,manual_page,pdf_page,target_format,status,notes
1-1,A TAOS Application,1-1,18,tikz,visually_verified,Editable TikZ redraw used in the compiled manual; source crop preserved in manual/figures/chapter01/source-crops/fig-1-1.png
1-2,Typical Trajectory Information,1-1,18,pgfplots,visually_verified,Editable PGFPlots redraw used in the compiled manual; source crop preserved in manual/figures/chapter01/source-crops/fig-1-2.png
1-3,Segmented Trajectories,1-6,23,tikz,visually_verified,Editable TikZ redraw used in the compiled manual; source crop preserved in manual/figures/chapter01/source-crops/fig-1-3.png
1-4,A Multiple Trajectory Example,1-7,24,pgfplots,visually_verified,Editable PGFPlots redraw used in the compiled manual; source crop preserved in manual/figures/chapter01/source-crops/fig-1-4.png
1-5,TAOS Icon on Silicon Graphics Workstations,1-9,26,tikz,visually_verified,"Version 19 source-comparison redraw: historical SGI file icons, TAOS application icon, labels, and arrow geometry reconstructed in editable TikZ; source crop preserved in manual/figures/chapter01/source-crops/fig-1-5.png"
1-6,Example Printout,1-10,27,latex,visually_verified,"Version 19 source-comparison reconstruction: split Sandia/TAOS header, ruled separator, indented titles, and fixed-width data alignment restored as semantic LaTeX; source crop preserved in manual/figures/chapter01/source-crops/fig-1-6.png"
2-1,The ECFC Coordinate System,2-5,34,tikz,visually_verified,Version 19 source-comparison redraw: denser ECFC graticule and editable continental outlines added while preserving the source axis geometry; source crop archived in manual/figures/chapter02/source-crops/fig-2-1.png
2-2,Local Geocentric Horizon Coordinates,2-8,37,tikz,visually_verified,Editable TikZ reconstruction used in the compiled manual; source crop archived in manual/figures/chapter02/source-crops/fig-2-2.png
2-3,Geocentric Position Components,2-9,38,tikz,visually_verified,Editable TikZ reconstruction used in the compiled manual; source crop archived in manual/figures/chapter02/source-crops/fig-2-3.png
2-4,Geocentric Velocity Components,2-10,39,tikz,visually_verified,Editable TikZ reconstruction used in the compiled manual; source crop archived in manual/figures/chapter02/source-crops/fig-2-4.png
2-5,Local Geodetic Horizon Coordinates,2-12,41,tikz,visually_verified,Editable TikZ reconstruction used in the compiled manual; source crop archived in manual/figures/chapter02/source-crops/fig-2-5.png
2-6,Ellipsoidal Earth Geometry,2-14,43,tikz,visually_verified,Editable TikZ reconstruction used in the compiled manual; source crop archived in manual/figures/chapter02/source-crops/fig-2-6.png
2-7,Geodetic Coordinate System Geometry,2-16,45,tikz,visually_verified,Editable TikZ reconstruction used in the compiled manual; source crop archived in manual/figures/chapter02/source-crops/fig-2-7.png
3-1,Forces Acting on Vehicle,3-1,136,tikz,visually_verified,Vector redraw in manual/figures/chapter03/fig-3-1.tex
3-2,Axial Force Coefficient as Function of Mach Number,3-1,136,pgfplots,visually_verified,Vector redraw in manual/figures/chapter03/fig-3-2.tex
3-3,Thrust and Mass Flow as a Function of Time,3-2,137,pgfplots,visually_verified,Vector redraw in manual/figures/chapter03/fig-3-3.tex
3-4,Table Files and Tables,3-2,137,tikz,visually_verified,Vector redraw in manual/figures/chapter03/fig-3-4.tex
3-5,Table Extrapolation Option,3-10,145,tikz,visually_verified,Vector redraw in manual/figures/chapter03/fig-3-5.tex
3-6,Square and Skewed Tabulated Data,3-22,157,tikz,visually_verified,Vector redraw in manual/figures/chapter03/fig-3-6.tex
